"dates","name","value","ts_missing","colors"
"2021-05-24","Lift station A",3.39703131990511,FALSE,"#44AA99"
"2021-05-31","Lift station A",NA,TRUE,"#44AA99"
"2021-06-07","Lift station A",NA,TRUE,"#44AA99"
"2021-06-14","Lift station A",NA,TRUE,"#44AA99"
"2021-06-21","Lift station A",4.54314628723178,FALSE,"#44AA99"
"2021-06-28","Lift station A",4.35612776146761,FALSE,"#44AA99"
"2021-07-05","Lift station A",NA,TRUE,"#44AA99"
"2021-07-12","Lift station A",4.74600473820633,FALSE,"#44AA99"
"2021-07-19","Lift station A",4.58104865848423,FALSE,"#44AA99"
"2021-07-26","Lift station A",5.452359797353,FALSE,"#44AA99"
"2021-08-02","Lift station A",5.33264577749161,FALSE,"#44AA99"
"2021-08-09","Lift station A",5.67607277954878,FALSE,"#44AA99"
"2021-08-16","Lift station A",NA,TRUE,"#44AA99"
"2021-08-23","Lift station A",4.95123860671415,FALSE,"#44AA99"
"2021-08-30","Lift station A",NA,TRUE,"#44AA99"
"2021-09-06","Lift station A",4.50567876172208,FALSE,"#44AA99"
"2021-09-13","Lift station A",NA,TRUE,"#44AA99"
"2021-09-20","Lift station A",4.47746183310767,FALSE,"#44AA99"
"2021-09-27","Lift station A",4.35886560856175,FALSE,"#44AA99"
"2021-10-04","Lift station A",4.61147253566498,FALSE,"#44AA99"
"2021-10-11","Lift station A",4.43795897496032,FALSE,"#44AA99"
"2021-10-18","Lift station A",4.22072909970333,FALSE,"#44AA99"
"2021-10-25","Lift station A",4.05639401307514,FALSE,"#44AA99"
"2021-11-01","Lift station A",NA,TRUE,"#44AA99"
"2021-11-08","Lift station A",NA,TRUE,"#44AA99"
"2021-11-15","Lift station A",NA,TRUE,"#44AA99"
"2021-11-22","Lift station A",NA,TRUE,"#44AA99"
"2021-11-29","Lift station A",NA,TRUE,"#44AA99"
"2021-12-06","Lift station A",3.73887656704645,FALSE,"#44AA99"
"2021-12-13","Lift station A",NA,TRUE,"#44AA99"
"2021-12-20","Lift station A",NA,TRUE,"#44AA99"
"2021-12-27","Lift station A",5.23986912454012,FALSE,"#44AA99"
"2022-01-03","Lift station A",5.85015475869576,FALSE,"#44AA99"
"2022-01-10","Lift station A",5.46379739896862,FALSE,"#44AA99"
"2022-01-17","Lift station A",5.37147438805585,FALSE,"#44AA99"
"2022-01-24","Lift station A",5.07918771748738,FALSE,"#44AA99"
"2022-01-31","Lift station A",4.77791013896675,FALSE,"#44AA99"
"2022-02-07","Lift station A",4.5072631714406,FALSE,"#44AA99"
"2022-02-14","Lift station A",4.2318584103453,FALSE,"#44AA99"
"2022-02-21","Lift station A",4.38290188011616,FALSE,"#44AA99"
"2022-02-28","Lift station A",4.14723819153105,FALSE,"#44AA99"
"2022-03-07","Lift station A",4.39603922362629,FALSE,"#44AA99"
"2022-03-14","Lift station A",3.66048461838375,FALSE,"#44AA99"
"2022-03-21","Lift station A",4.10685203007094,FALSE,"#44AA99"
"2022-03-28","Lift station A",4.61789094897716,FALSE,"#44AA99"
"2022-04-04","Lift station A",NA,TRUE,"#44AA99"
"2022-04-11","Lift station A",4.31717797519712,FALSE,"#44AA99"
